SP_ID,gpw4_2000e,id,gpw4_2005e,gpw4_2010e,gpw4_2015e,gpw4_2020e,ncc4_1992e,ncc4_1993e,ncc4_1994e,ncc4_1995e,ncc4_1996e,ncc4_1997e,ncc4_1998e,ncc4_1999e,ncc4_2000e,ncc4_2001e,ncc4_2002e,ncc4_2003e,ncc4_2004e,ncc4_2005e,ncc4_2006e,ncc4_2007e,ncc4_2008e,ncc4_2009e,ncc4_2010e,ncc4_2011e,ncc4_2012e,dflc_e,dcfu_e,dcsu_e,dfmi_e,dfrw_e,ncc4_2013e
298,3.460695028,299,3.336990118,3.152225494,2.951288462,2.729406834,0,0.023382304,0,0,0.002770102,0.037778433,0.095026754,0.063825913,0.067869313,0.054442458,0.055498868,0.026305092,0.031688984,0.055354573,0.020461071,0.015637577,0.020459516,0.043016836,0.089114644,0.113634542,0.048395086,1667573.5,1181699.125,1304229.5,1180626.25,76961.91406,0.151291513
299,0.632479548,300,0.669536591,0.693081737,0.712635875,0.723439932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806879.75,307124.7188,485442.875,403754.3125,5242.067383,0
300,1.778208613,301,2.1007967,2.431727648,2.787863255,3.157005072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742833.125,83240.34375,202482.125,238041.0469,1404704.5,0
301,3.177731037,302,3.490986586,3.768085241,4.03181982,4.240122318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37684.07422,119753.8359,158392.2969,69989.44531,56263.88672,0
302,0.111289427,303,0.1316562,0.150837481,0.171398818,0.193701148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57403.82031,34230.21484,76775.51563,166488.4375,924253.0625,0
303,0.930739999,304,1.103375912,1.28497839,1.478815675,1.685507178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694901.25,8973.160156,596343.3125,848926,1996030.5,0
304,9.611330032,305,9.576025009,9.50494957,9.33686924,8.919807434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017230.563,651129.9375,612740.1875,472248.75,27707.39453,0
305,0.730368733,306,0.979670763,1.295526147,1.689723372,2.183416605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91852.98438,84848.1875,286058.1563,165156.7969,719677.75,0
306,0.500792921,307,0.528247833,0.546924591,0.560079932,0.567058563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97327.625,30921.17969,14159.45117,144624.75,1154952.375,0
307,2.47977376,308,2.559257507,2.588162422,2.589456797,2.561907768,0,0.204325557,0,0.240432858,0.238379806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020998841,0.014969694,0,2118530.25,1629839.625,1753185.375,1622216.125,91106.74219,0.272727273
308,1.860526323,309,2.140807152,2.387205362,2.708539724,2.996751547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99118.25,118312.6406,105945.4531,17582.62109,378538.3125,0
309,17.36733246,310,19.05649948,20.46502876,21.79739761,23.02066422,0.003712649,0,0,0.368217647,0.109828919,0.218257576,0.003064345,0.08078289,0.092619143,0.199935094,0.332322478,0.198005855,0.976997137,0.081431195,0.270664126,0.598061264,0.719881833,0.101434238,1.370985746,0.722171545,0.145614773,1591146.375,1127320.125,1219091.75,1082052,81455.35938,0.653333333
310,20.29149628,311,22.46972847,24.29940796,26.05018425,27.59116745,0,0.276433706,0,2.636040688,1.732587337,1.431452036,0,0.412277281,0.490986437,1.439985752,3.323051453,2.017870188,3.82743454,2.550877571,1.002680421,1.501860619,2.542936325,1.873304367,4.413341999,6.465136528,3.383402348,1029709.75,555758.375,673525.875,580253.75,69838,5.214285714
